Name;Quantity;Description;Price;Link
Drill Bits 8pcs;1;For drilling the holes into my desk, didnt find the size i needed without it being pricier and not in a kit;5,47;https://www.aliexpress.com/item/1005003601465043.html?spm=a2g0o.cart.0.0.208838da9iqBfA&mp=1&pdp_npi=5%40dis%21USD%21USD%205.47%21USD%205.47%21%21USD%205.31%21%21%21%40211b431017479213982196294e081b%2112000026451831771%21ct%21PT%216268751524%21%211%210
Threaded Inserts 10pcs;1;Attach the arm to my desk;2,46;https://www.aliexpress.com/item/1005008275463912.html?spm=a2g0o.cart.0.0.208838da9iqBfA&mp=1&pdp_npi=5%40dis%21USD%21USD%202.46%21USD%202.46%21%21USD%202.34%21%21%21%40211b431017479213982196294e081b%2112000044449591069%21ct%21PT%216268751524%21%211%210
M6 Screws 90mm 5pcs;2;Screw into Threaded Inserts;7,52;https://www.aliexpress.com/item/1005004527586307.html?spm=a2g0o.cart.0.0.208838da9iqBfA&mp=1&pdp_npi=5%40dis%21USD%21USD%203.76%21USD%203.76%21%21USD%203.57%21%21%21%40211b431017479215673502655e081b%2112000041563180207%21ct%21PT%216268751524%21%212%210
22AWG wire;1;Extend wires of fan, etc.;3,93;https://www.aliexpress.com/item/1005007009685328.html?spm=a2g0o.cart.0.0.208838da9iqBfA&mp=1&pdp_npi=5%40dis%21USD%21USD%204.31%21USD%203.93%21%21USD%203.85%21%21%21%40211b431017479215673502655e081b%2112000039046851045%21ct%21PT%216268751524%21%211%210
100 Degree camera;1;Make the arm see.;11,31;https://www.aliexpress.com/item/1005008513009673.html?spm=a2g0o.cart.0.0.208838da9iqBfA&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.31%21USD%2011.31%21%21USD%2011.31%21%21%21%40211b655217479218267006939e92d7%2112000045500231951%21ct%21PT%216268751524%21%211%210
Orange pi zero 3 4GB;1;Run the AI, control everything;49,61;https://www.aliexpress.com/item/1005005817760601.html?spm=a2g0o.cart.0.0.208838da9iqBfA&mp=1&pdp_npi=5%40dis%21USD%21USD%2049.61%21USD%2049.61%21%21USD%2048.62%21%21%21%40211b61ae17479220952483908e779d%2112000034781866231%21ct%21PT%216268751524%21%211%210
256GB SD card;1;Store a bunch of data like the AI, want to be able to store videos;7,31;https://www.aliexpress.com/item/1005001617961938.html?spm=a2g0o.cart.0.0.208838da9iqBfA&mp=1&pdp_npi=5%40dis%21USD%21USD%207.69%21USD%207.31%21%21USD%207.31%21%21%21%40211b61ae17479221359584691e779d%2112000016836623834%21ct%21PT%216268751524%21%211%210
Buck converter;1;Power the Pi with 5v from the 12V PSU;4,13;https://www.aliexpress.com/item/1005007259901753.html?spm=a2g0o.cart.0.0.20887a9dpUIksm&mp=1&pdp_npi=5%40dis%21USD%21USD%204.62%21USD%204.13%21%21USD%204.13%21%21%21%40211b61ae17479225294116207e779d%2112000039979305521%21ct%21PT%216268751524%21%211%210
3Pcs NEMA17 Steppers;2;Move the arm and stuff;34,78;https://www.aliexpress.com/item/1005003874936862.html?spm=a2g0o.cart.0.0.20887a9dpUIksm&mp=1&pdp_npi=5%40dis%21USD%21USD%2017.39%21USD%2017.39%21%21USD%2017.04%21%21%21%40211b80c217479228554851291e5aaf%2112000036219123371%21ct%21PT%216268751524%21%212%210
1A Fuse 5pcs;1;Safety;2,12;https://www.aliexpress.com/item/10000002732097.html?spm=a2g0o.productlist.main.10.4aeb28ebPJhzZA&algo_pvid=13fb9def-7a1e-46ca-b194-0683c1bce53e&algo_exp_id=13fb9def-7a1e-46ca-b194-0683c1bce53e-9&pdp_ext_f=%7B%22order%22%3A%221690%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.04%212.04%21%21%212.04%212.04%21%40211b80c217479330278793327e5aee%2112000046113385156%21sea%21PT%216268751524%21X&curPageLogUid=i7AV0s54w2VV&utparam-url=scene%3Asearch%7Cquery_from%3A
NEMA17 .25Nm;1;More power for the 2nd joint ;8,58;https://www.aliexpress.com/item/1005005281739306.html?spm=a2g0o.cart.0.0.3d7538daIyLVSZ&mp=1&pdp_npi=5%40dis%21USD%21USD%208.58%21USD%208.58%21%21USD%208.38%21%21%21%402140ed7717490785548232285e04ce%2112000040072246972%21ct%21PT%216268751524%21%211%210
M3 screws;50;Hold all the stuff together;3,92;https://www.aliexpress.com/item/32810872544.html?spm=a2g0o.cart.0.0.3d7538daQ7eyWn&mp=1&pdp_npi=5%40dis%21USD%21USD%204.08%21USD%203.92%21%21USD%203.63%21%21%21%40213d105017490790050053326e0ed9%2112000037536050592%21ct%21PT%216268751524%21%211%210
Flange Coupling;2;Attach stuff to motors;4;https://www.aliexpress.com/item/1005006049522342.html?spm=a2g0o.cart.0.0.3d7538daQ7eyWn&mp=1&pdp_npi=5%40dis%21USD%21USD%202.09%21USD%201.99%21%21USD%201.99%21%21%21%40213d105017490790050053326e0ed9%2112000035491335748%21ct%21PT%216268751524%21%212%210
14AWG wire (1m);1;connections from the psu;2,52;https://www.aliexpress.com/item/1005007356973020.html?spm=a2g0o.cart.0.0.3d7538daQ7eyWn&mp=1&pdp_npi=5%40dis%21USD%21USD%204.84%21USD%202.52%21%21USD%202.44%21%21%21%40213d105017490790050053326e0ed9%2112000040447817281%21ct%21PT%216268751524%21%211%210
16AWG wire (5m);1;connections for motors;5,91;https://www.aliexpress.com/item/1005007356973020.html?spm=a2g0o.cart.0.0.3d7538daQ7eyWn&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.59%21USD%205.91%21%21USD%205.71%21%21%21%40213d105017490790050053326e0ed9%2112000040447817289%21ct%21PT%216268751524%21%211%210
Drawer slides;1;slide the psu and stuff out of the casing;3,63;https://www.aliexpress.com/item/1005008146076491.html?spm=a2g0o.cart.0.0.3d7538daNGZYxw&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.34%21USD%203.63%21%21USD%203.58%21%21%21%40213d105017490792190493909e0ed9%2112000043984833521%21ct%21PT%216268751524%21%211%210
GT2 belt 20cm;1;2nd joint gear connection;6;https://www.aliexpress.com/item/1005004588047992.html?spm=a2g0o.cart.0.0.3d7538daNGZYxw&mp=1&pdp_npi=5%40dis%21USD%21USD%206.69%21USD%206.00%21%21USD%205.80%21%21%21%40213d105017490792190493909e0ed9%2112000029735608602%21ct%21PT%216268751524%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
20T gears GT2;5;gears for motors;3,73;https://www.aliexpress.com/item/32781681772.html?spm=a2g0o.cart.0.0.3d7538daNGZYxw&mp=1&pdp_npi=5%40dis%21USD%21USD%204.01%21USD%203.73%21%21USD%203.64%21%21%21%40213d105017490792190493909e0ed9%2112000044304854990%21ct%21PT%216268751524%21%211%210
10m braid sleeving;1;Organize the wires (mainly for the motor) and protect them;3,97;https://www.aliexpress.com/item/1005007486025295.html?spm=a2g0o.cart.0.0.3d7538daNGZYxw&mp=1&pdp_npi=5%40dis%21USD%21USD%203.97%21USD%203.97%21%21USD%203.87%21%21%21%40213d105017490792190493909e0ed9%2112000040967243966%21ct%21PT%216268751524%21%211%210
50pcs heat inserts;1;Holes for the m3 screws inside the 3d printed parts;2,58;https://www.aliexpress.com/item/1005003582355741.html?spm=a2g0o.cart.0.0.3d7538daNGZYxw&mp=1&pdp_npi=5%40dis%21USD%21USD%202.72%21USD%202.58%21%21USD%202.52%21%21%21%40213d105017490792190493909e0ed9%2112000026370649772%21ct%21PT%216268751524%21%211%210
Medium sized bearing;2;2nd joint rotation;2,74;https://www.aliexpress.com/item/1005007420073930.html?spm=a2g0o.cart.0.0.3d7538daNGZYxw&mp=1&pdp_npi=5%40dis%21USD%21USD%202.74%21USD%202.74%21%21USD%202.73%21%21%21%40213d105017490792190493909e0ed9%2112000040678203625%21ct%21PT%216268751524%21%212%210
fine hotend kit;1;hotends for printing the gears with a bit more precision (way less cost than buying metal ones);2,86;https://www.aliexpress.com/item/1005005859131617.html?spm=a2g0o.cart.0.0.3d7538daNGZYxw&mp=1&pdp_npi=5%40dis%21USD%21USD%202.95%21USD%202.86%21%21USD%202.85%21%21%21%40213d105017490792190493909e0ed9%2112000034650374620%21ct%21PT%216268751524%21%211%210
;;;;
;Total (excluding discounts):;245,39;;
